time_min,temp_air,ice_g_1,ice_g_2
0,23.5,27.57,28.47
10,24,26.30,27.27
20,24,23.15,24.37
30,24,19.58,20.88
40,24,16.80,18.43
55,23.5,13.37,11.94
75,23.5,8.72,7.53
95,24,4.879,4.067
115,24,2.207,1.826
135,24,0.492,0.336
155,24,0,0
